Taille (Villes),Run ID,Algorithme,Score (Distance),Temps (s)
20,1,Classique,360.0728445949901,1.7093689441680908
20,1,Hybride (IA),360.0728445949901,1.7293763160705566
20,2,Classique,360.07284459499016,1.7171061038970947
20,2,Hybride (IA),360.0728445949902,1.7143545150756836
20,3,Classique,360.07284459499016,1.6915555000305176
20,3,Hybride (IA),362.32986156415257,1.8281188011169434
20,4,Classique,360.07284459499016,1.8682892322540283
20,4,Hybride (IA),360.07284459499016,1.7787792682647705
20,5,Classique,360.07284459499016,1.9195528030395508
20,5,Hybride (IA),360.11401739327584,1.8015315532684326
20,6,Classique,360.07284459499016,1.8525669574737549
20,6,Hybride (IA),362.32986156415257,1.849170207977295
20,7,Classique,360.07284459499016,1.8199772834777832
20,7,Hybride (IA),362.32986156415257,1.7754082679748535
20,8,Classique,360.0728445949901,1.9081017971038818
20,8,Hybride (IA),360.11401739327584,1.7476167678833008
20,9,Classique,360.0728445949901,1.8847644329071045
20,9,Hybride (IA),360.07284459499016,1.753690242767334
20,10,Classique,360.0728445949901,1.859248399734497
20,10,Hybride (IA),360.0728445949901,1.8888981342315674
50,1,Classique,601.9134130374379,7.561582565307617
50,1,Hybride (IA),570.8698288043288,7.9551191329956055
50,2,Classique,606.2972777879688,7.928779363632202
50,2,Hybride (IA),568.1013160307513,7.805116891860962
50,3,Classique,601.3857992038974,7.77605676651001
50,3,Hybride (IA),571.3012677276242,7.802558183670044
50,4,Classique,587.0576534420438,7.706835508346558
50,4,Hybride (IA),568.1013160307513,7.735746622085571
50,5,Classique,590.2436087683607,7.821106910705566
50,5,Hybride (IA),571.1094665452008,7.66533899307251
50,6,Classique,568.8188254438401,7.65012264251709
50,6,Hybride (IA),571.7791590117622,7.5738890171051025
50,7,Classique,600.284239797105,7.739629030227661
50,7,Hybride (IA),565.3923747470749,7.663097143173218
50,8,Classique,587.5350344579989,7.731037616729736
50,8,Hybride (IA),566.3725882128971,7.601987838745117
50,9,Classique,580.9095155622343,7.761645317077637
50,9,Hybride (IA),570.8698288043288,7.669691324234009
50,10,Classique,592.1419261920195,7.658164978027344
50,10,Hybride (IA),570.9111829901236,7.612701892852783
100,1,Classique,917.2903859039608,23.472083568572998
100,1,Hybride (IA),826.0605793577665,23.43350076675415
100,2,Classique,939.9263281077476,23.506489515304565
100,2,Hybride (IA),845.6888614471632,23.322500944137573
100,3,Classique,888.698795622777,23.267152786254883
100,3,Hybride (IA),843.3886238748838,23.424976110458374
100,4,Classique,909.8026498690006,23.690361261367798
100,4,Hybride (IA),847.3899232188568,23.55058002471924
100,5,Classique,915.4585093924285,23.28648805618286
100,5,Hybride (IA),860.9910373156184,23.34798264503479
100,6,Classique,881.3119204314752,23.479294300079346
100,6,Hybride (IA),839.134910249634,23.281766176223755
100,7,Classique,940.8380132126632,23.422860860824585
100,7,Hybride (IA),860.7734992178639,23.437872648239136
100,8,Classique,920.6367583485857,23.55839729309082
100,8,Hybride (IA),859.3412794389592,23.562050819396973
100,9,Classique,888.2405920458194,24.02703619003296
100,9,Hybride (IA),850.2720445326911,23.677358388900757
100,10,Classique,919.8956278347961,23.41261577606201
100,10,Hybride (IA),868.2688595978796,23.5525906085968
